N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
45.0,KT,29150.0,100.0,-0.34%,5000.0,256500.0,409807.0,16901.0
46.0,현대글로비스,199700.0,100.0,+0.05%,500.0,269819.0,138778.0,17985.0
47.0,LG이노텍,315000.0,2000.0,+0.64%,5000.0,195894.0,97936.0,12718.0
48.0,S-Oil,64900.0,300.0,-0.46%,2500.0,424460.0,196131.0,34052.0
49.0,한화솔루션,42100.0,0.0,0.00%,5000.0,136539.0,238317.0,9662.0
50.0,LG생활건강,447000.0,8000.0,-1.76%,5000.0,71858.0,73029.0,7111.0
51.0,SK아이이테크놀로지,94600.0,200.0,+0.21%,1000.0,5858.0,34973.0,-523.0
52.0,한화에어로스페이스,132400.0,700.0,+0.53%,5000.0,65396.0,151573.0,3772.0
53.0,롯데케미칼,155000.0,200.0,+0.13%,5000.0,222761.0,267846.0,-7626.0
54.0,SK스퀘어,46300.0,650.0,+1.42%,100.0,45107.0,221606.0,1628.0
55.0,엔씨소프트,294000.0,0.0,0.00%,500.0,25718.0,44376.0,5590.0
56.0,코스모신소재,204000.0,12400.0,+6.47%,1000.0,4856.0,4513.0,325.0
57.0,삼성중공업,7080.0,140.0,+2.02%,1000.0,59447.0,144917.0,-8544.0
58.0,SK바이오팜,78400.0,4800.0,-5.77%,500.0,2462.0,6642.0,-1311.0
59.0,카카오페이,45450.0,750.0,-1.62%,500.0,5217.0,33315.0,-455.0
60.0,KODEX 200,34100.0,255.0,-0.74%,0.0,,,
61.0,두산밥캣,59400.0,600.0,+1.02%,500.0,86219.0,92484.0,10716.0
62.0,SK바이오사이언스,76600.0,400.0,-0.52%,500.0,4567.0,21419.0,1150.0
63.0,삼성엔지니어링,29200.0,200.0,-0.68%,5000.0,100543.0,78487.0,7029.0
64.0,아모레퍼시픽,96200.0,1600.0,-1.64%,500.0,41349.0,58018.0,2142.0
65.0,LG디스플레이,15470.0,410.0,-2.58%,5000.0,261518.0,356860.0,-20850.0
66.0,한국항공우주,54900.0,700.0,+1.29%,5000.0,27869.0,77724.0,1416.0
67.0,DB손해보험,72900.0,100.0,-0.14%,500.0,228608.0,644966.0,13331.0
68.0,TIGER CD금리투자KIS(합성),52615.0,5.0,+0.01%,0.0,,,
69.0,맥쿼리인프라,12610.0,80.0,-0.63%,0.0,,,
70.0,한온시스템,9180.0,10.0,+0.11%,100.0,86277.0,90988.0,2566.0
71.0,오리온,120400.0,900.0,-0.74%,500.0,28732.0,33717.0,4667.0
72.0,LG유플러스,10710.0,80.0,-0.74%,5000.0,139060.0,197748.0,10813.0
73.0,HD현대,58800.0,400.0,-0.68%,1000.0,608497.0,655709.0,33870.0
74.0,현대제철,34200.0,550.0,+1.63%,5000.0,273406.0,368010.0,16165.0
75.0,유한양행,58800.0,600.0,-1.01%,1000.0,17758.0,24727.0,360.0
76.0,한국타이어앤테크놀로지,35950.0,700.0,+1.99%,500.0,83942.0,125814.0,7058.0
77.0,F&F,116000.0,5200.0,-4.29%,100.0,18089.0,15702.0,5249.0
78.0,미래에셋증권,7220.0,0.0,0.00%,5000.0,191608.0,1062133.0,8356.0
79.0,현대로템,38750.0,900.0,+2.38%,5000.0,31633.0,48239.0,1475.0
80.0,현대건설,37000.0,900.0,-2.37%,5000.0,212391.0,209117.0,5749.0
81.0,금양,70500.0,11700.0,+19.90%,500.0,2131.0,2828.0,132.0
82.0,넷마블,47550.0,700.0,-1.45%,100.0,26734.0,89356.0,-1087.0
83.0,CJ제일제당,271000.0,6500.0,-2.34%,5000.0,300795.0,300132.0,16647.0
84.0,SKC,107000.0,6400.0,+6.36%,5000.0,31389.0,63931.0,2203.0
85.0,현대차2우B,112000.0,900.0,+0.81%,5000.0,,,
86.0,현대오토에버,146100.0,200.0,+0.14%,500.0,27545.0,26194.0,1424.0
87.0,한미약품,301500.0,7500.0,-2.43%,2500.0,13315.0,19246.0,1581.0
88.0,금호석유,126800.0,900.0,-0.70%,5000.0,79756.0,77193.0,11477.0
89.0,강원랜드,17340.0,20.0,+0.12%,500.0,12707.0,41678.0,2176.0
90.0,KODEX KOFR금리액티브(합성),103495.0,5.0,0.00%,0.0,,,
91.0,씨에스윈드,84400.0,1300.0,+1.56%,500.0,13749.0,17795.0,421.0
92.0,현대미포조선,87100.0,300.0,-0.34%,5000.0,37169.0,47482.0,-1091.0
93.0,삼성카드,29250.0,150.0,-0.51%,5000.0,37946.0,296232.0,8489.0
94.0,GS,36200.0,0.0,0.00%,5000.0,287770.0,339222.0,50051.0
95.0,코웨이,43850.0,50.0,-0.11%,500.0,38561.0,43651.0,6774.0
96.0,삼성증권,35450.0,500.0,-1.39%,5000.0,134869.0,538483.0,5781.0
97.0,NH투자증권,9510.0,100.0,-1.04%,5000.0,115357.0,534283.0,5214.0
98.0,한진칼,46950.0,350.0,+0.75%,2500.0,2003.0,39151.0,145.0
99.0,한미반도체,30800.0,700.0,-2.22%,100.0,3276.0,4554.0,1119.0
100.0,KODEX 종합채권(AA-이상)액티브,104635.0,260.0,-0.25%,0.0,,,
101.0,LS,91500.0,1100.0,-1.19%,5000.0,174913.0,168140.0,6709.0
102.0,BGF리테일,167800.0,2400.0,-1.41%,1000.0,76158.0,29462.0,2524.0
103.0,호텔신라,73600.0,600.0,+0.82%,5000.0,49220.0,29385.0,783.0
104.0,LG화학우,375000.0,5000.0,+1.35%,5000.0,,,
105.0,TIGER 차이나전기차SOLACTIVE,10330.0,10.0,-0.10%,0.0,,,
106.0,한국금융지주,50700.0,400.0,-0.78%,5000.0,250281.0,863086.0,5458.0
107.0,영원무역,63200.0,600.0,-0.94%,500.0,39110.0,45136.0,8230.0
108.0,DB하이텍,62300.0,200.0,+0.32%,5000.0,16753.0,21227.0,7687.0
109.0,한화시스템,14620.0,70.0,-0.48%,5000.0,21880.0,39456.0,240.0
110.0,현대해상,30500.0,50.0,+0.16%,500.0,203844.0,522276.0,8080.0
111.0,팬오션,5050.0,30.0,-0.59%,1000.0,64203.0,75489.0,7896.0
112.0,한솔케미칼,236500.0,3500.0,-1.46%,5000.0,8855.0,12533.0,1860.0
113.0,현대차우,110000.0,400.0,+0.36%,5000.0,,,
114.0,한전기술,68700.0,300.0,-0.43%,200.0,5053.0,8165.0,139.0
115.0,롯데에너지머티리얼즈,56700.0,8100.0,+16.67%,500.0,7294.0,24303.0,848.0
116.0,롯데지주,24700.0,300.0,-1.20%,200.0,141119.0,221754.0,4898.0
117.0,쌍용C&E,5010.0,70.0,-1.38%,100.0,19650.0,38743.0,2209.0
118.0,농심,411000.0,14500.0,+3.66%,5000.0,31291.0,30347.0,1122.0
119.0,HL만도,52900.0,400.0,-0.75%,1000.0,75162.0,58458.0,2481.0
120.0,LS ELECTRIC,80500.0,900.0,-1.11%,5000.0,33771.0,33228.0,1875.0
121.0,TIGER 미국나스닥100,88315.0,115.0,-0.13%,0.0,,,
122.0,HD현대일렉트릭,66400.0,900.0,-1.34%,5000.0,21045.0,24350.0,1330.0
123.0,HD현대인프라코어,11890.0,60.0,-0.50%,1000.0,47561.0,47367.0,3325.0
124.0,한국가스공사,25500.0,700.0,-2.67%,5000.0,517243.0,624250.0,24634.0
125.0,GS리테일,22450.0,150.0,-0.66%,1000.0,112264.0,98324.0,2451.0
126.0,휠라홀딩스,38000.0,450.0,-1.17%,1000.0,42218.0,48218.0,4351.0
127.0,TIGER 200,34145.0,240.0,-0.70%,0.0,,,
128.0,키움증권,87700.0,900.0,-1.02%,5000.0,89424.0,480373.0,6564.0
129.0,BNK금융지주,6890.0,90.0,-1.29%,5000.0,75756.0,1369664.0,11589.0
130.0,한화,29950.0,550.0,+1.87%,5000.0,622784.0,2111753.0,25161.0
131.0,한미사이언스,31900.0,550.0,-1.69%,500.0,10461.0,11097.0,676.0
132.0,한화생명,2510.0,5.0,-0.20%,5000.0,337014.0,1612355.0,7147.0
133.0,이마트,75900.0,400.0,-0.52%,5000.0,293324.0,332017.0,1357.0
134.0,아모레G,25650.0,400.0,-1.54%,500.0,44950.0,76510.0,2719.0
135.0,제일기획,18360.0,50.0,+0.27%,200.0,42534.0,27514.0,3114.0
136.0,에스원,53200.0,700.0,-1.30%,500.0,24680.0,20757.0,2041.0
137.0,효성첨단소재,450500.0,11500.0,-2.49%,5000.0,38414.0,29347.0,3151.0
138.0,LX세미콘,123800.0,7000.0,+5.99%,500.0,21193.0,12896.0,3106.0
139.0,KODEX 23-12 은행채(AA+이상)액티브,10330.0,5.0,+0.05%,0.0,,,
140.0,코스모화학,57000.0,8850.0,+18.38%,1000.0,7182.0,8079.0,414.0
141.0,KODEX 레버리지,16985.0,235.0,-1.36%,0.0,,,
142.0,이수페타시스,30850.0,1750.0,-5.37%,1000.0,6429.0,5460.0,1166.0
143.0,KODEX 200선물인버스2X,2525.0,40.0,+1.61%,0.0,,,
144.0,KODEX 200TR,11615.0,85.0,-0.73%,0.0,,,
145.0,동서,19290.0,10.0,-0.05%,500.0,5565.0,16279.0,392.0
146.0,TIGER 미국S&P500,14510.0,30.0,-0.21%,0.0,,,
147.0,LIG넥스원,86500.0,3000.0,+3.59%,5000.0,22208.0,30127.0,1791.0
148.0,롯데쇼핑,67200.0,200.0,+0.30%,5000.0,154760.0,317036.0,3862.0
149.0,CJ,63900.0,1800.0,-2.74%,5000.0,409249.0,482404.0,21542.0
150.0,동원산업,36850.0,1100.0,-2.90%,1000.0,90263.0,70612.0,4944.0
151.0,현대위아,67100.0,700.0,-1.03%,5000.0,82076.0,75465.0,2121.0
152.0,OCI홀딩스,110500.0,300.0,-0.27%,5000.0,46713.0,67455.0,9767.0
153.0,두산퓨얼셀,27100.0,1200.0,-4.24%,100.0,3121.0,10269.0,72.0
154.0,에스엘,37850.0,100.0,-0.26%,500.0,41745.0,29316.0,1979.0
155.0,롯데정밀화학,68100.0,100.0,+0.15%,5000.0,24638.0,27098.0,4043.0
156.0,신세계,178200.0,1000.0,+0.56%,5000.0,78128.0,143484.0,6454.0
157.0,KCC,197400.0,600.0,-0.30%,5000.0,67748.0,131185.0,4677.0
158.0,대한전선,14050.0,170.0,-1.20%,1000.0,24505.0,16203.0,482.0
159.0,이수스페셜티케미컬,314500.0,13000.0,-3.97%,5000.0,,,
160.0,덴티움,154900.0,1200.0,+0.78%,500.0,3559.0,6746.0,1257.0
161.0,HD현대건설기계,86400.0,1100.0,-1.26%,5000.0,35156.0,34486.0,1706.0
162.0,대우건설,4060.0,40.0,-0.98%,5000.0,104192.0,111404.0,7600.0
163.0,JB금융지주,8470.0,70.0,-0.82%,5000.0,31171.0,598282.0,8258.0
164.0,TIGER 미국필라델피아반도체나스닥,12815.0,50.0,-0.39%,0.0,,,
165.0,대덕전자,32950.0,750.0,+2.33%,500.0,13162.0,11918.0,2325.0
166.0,TIGER 미국테크TOP10 INDXX,13480.0,50.0,-0.37%,0.0,,,
167.0,CJ대한통운,71100.0,4900.0,-6.45%,5000.0,121307.0,96933.0,4118.0
168.0,KG모빌리티,8470.0,720.0,+9.29%,5000.0,34233.0,20019.0,-1120.0
169.0,GS건설,18450.0,380.0,-2.02%,5000.0,122992.0,169466.0,5548.0
170.0,오뚜기,391000.0,3500.0,-0.89%,5000.0,31833.0,35698.0,1857.0
171.0,삼아알미늄,106000.0,500.0,+0.47%,500.0,3121.0,2882.0,226.0
172.0,현대엘리베이,39650.0,550.0,+1.41%,5000.0,21293.0,30145.0,430.0
173.0,효성티앤씨,357000.0,12000.0,-3.25%,5000.0,88827.0,43199.0,1236.0
174.0,TIGER 2차전지테마,32365.0,685.0,+2.16%,0.0,,,
175.0,하이트진로,21500.0,250.0,-1.15%,5000.0,24976.0,33334.0,1906.0
176.0,한전KPS,32300.0,400.0,-1.22%,200.0,14291.0,15620.0,1306.0
177.0,LX인터내셔널,37450.0,2150.0,+6.09%,5000.0,187595.0,77190.0,9655.0
178.0,두산,87300.0,600.0,-0.68%,5000.0,169958.0,263154.0,11260.0
179.0,코오롱인더,52300.0,600.0,+1.16%,5000.0,53675.0,60035.0,2425.0
180.0,솔루엠,28450.0,400.0,-1.39%,500.0,16945.0,10343.0,756.0
181.0,KODEX 삼성그룹,9340.0,35.0,-0.37%,0.0,,,
182.0,솔루스첨단소재,38800.0,1800.0,+4.86%,100.0,4612.0,14610.0,-452.0
183.0,금호타이어,4725.0,30.0,+0.64%,5000.0,35592.0,46950.0,231.0
184.0,녹십자,115500.0,2700.0,+2.39%,5000.0,17113.0,25255.0,813.0
185.0,TIGER MSCI Korea TR,14580.0,115.0,-0.78%,0.0,,,
186.0,KBSTAR 200,34335.0,230.0,-0.67%,0.0,,,
187.0,DL이앤씨,33550.0,500.0,-1.47%,5000.0,74968.0,89747.0,4970.0
188.0,KODEX 2차전지산업,29235.0,230.0,+0.79%,0.0,,,
189.0,명신산업,24500.0,50.0,-0.20%,500.0,15152.0,9293.0,1269.0
190.0,에스디바이오센서,12280.0,130.0,-1.05%,500.0,29320.0,32619.0,11466.0
191.0,KODEX 단기채권PLUS,106980.0,5.0,0.00%,0.0,,,
192.0,DGB금융지주,7450.0,50.0,-0.67%,5000.0,72746.0,910107.0,6072.0
193.0,후성,13000.0,130.0,+1.01%,500.0,6106.0,9338.0,1054.0
194.0,SK네트웍스,5180.0,130.0,+2.57%,2500.0,96664.0,94993.0,1542.0
195.0,현대백화점,51500.0,1900.0,+3.83%,5000.0,50141.0,120692.0,3209.0
196.0,효성,56800.0,3800.0,-6.27%,5000.0,37193.0,52673.0,649.0
197.0,SK케미칼,68600.0,600.0,-0.87%,5000.0,18292.0,39457.0,2305.0
198.0,제주항공,15240.0,140.0,+0.93%,1000.0,7025.0,16636.0,-1775.0
199.0,KBSTAR 종합채권(A-이상)액티브,97225.0,5.0,-0.01%,0.0,,,
200.0,일진하이솔루스,32000.0,150.0,+0.47%,500.0,1091.0,3425.0,28.0
201.0,풍산,41400.0,450.0,-1.08%,5000.0,43730.0,33953.0,2316.0
202.0,효성중공업,124300.0,2100.0,+1.72%,5000.0,35101.0,46935.0,1432.0
203.0,한국앤컴퍼니,12100.0,0.0,0.00%,500.0,10959.0,43018.0,2452.0
204.0,SK가스,123800.0,1900.0,-1.51%,5000.0,80662.0,58318.0,3905.0
205.0,롯데칠성,122900.0,2100.0,-1.68%,500.0,28417.0,36959.0,2229.0
206.0,영풍제지,24400.0,650.0,+2.74%,500.0,1054.0,2037.0,78.0
207.0,해성디에스,65700.0,600.0,-0.90%,5000.0,8394.0,6596.0,2044.0
208.0,TIGER TOP10,11525.0,85.0,-0.73%,0.0,,,
209.0,SK오션플랜트,20500.0,0.0,0.00%,500.0,6918.0,12200.0,719.0
210.0,대웅제약,93300.0,1500.0,-1.58%,2500.0,12801.0,15633.0,958.0
211.0,동원시스템즈,37150.0,350.0,+0.95%,5000.0,14370.0,14517.0,918.0
212.0,한올바이오파마,20550.0,150.0,-0.72%,500.0,1100.0,2135.0,15.0
213.0,TCC스틸,40450.0,150.0,+0.37%,1000.0,6844.0,5075.0,440.0
214.0,영원무역홀딩스,77600.0,1200.0,-1.52%,500.0,45339.0,54902.0,10022.0
215.0,PI첨단소재,35850.0,500.0,-1.38%,500.0,2764.0,4990.0,521.0
216.0,한국콜마,45850.0,150.0,-0.33%,500.0,18657.0,29333.0,733.0
217.0,코스맥스,91500.0,1500.0,-1.61%,500.0,16001.0,13965.0,531.0
218.0,영풍,558000.0,7000.0,-1.24%,5000.0,44295.0,58719.0,689.0
219.0,아이에스동서,33000.0,550.0,-1.64%,500.0,22784.0,37378.0,3451.0
220.0,애경케미칼,20750.0,400.0,+1.97%,500.0,21764.0,12341.0,951.0
221.0,종근당,79900.0,800.0,-0.99%,2500.0,14883.0,11249.0,1099.0
222.0,OCI,134600.0,7200.0,+5.65%,5000.0,,,
223.0,롯데렌탈,27300.0,50.0,-0.18%,5000.0,27389.0,69272.0,3084.0
224.0,한샘,42150.0,1150.0,-2.66%,1000.0,20009.0,10997.0,-217.0
225.0,SK리츠,4980.0,15.0,-0.30%,500.0,306.0,31127.0,225.0
226.0,TIGER 단기통안채,103810.0,15.0,+0.01%,0.0,,,
227.0,비에이치,28300.0,100.0,+0.35%,500.0,16811.0,10073.0,1313.0
228.0,DN오토모티브,95000.0,2200.0,+2.37%,500.0,31564.0,45916.0,4215.0
229.0,LG전자우,55100.0,300.0,-0.54%,5000.0,,,
230.0,코리안리,6720.0,180.0,-2.61%,500.0,125791.0,149781.0,1925.0
231.0,롯데웰푸드,100100.0,200.0,+0.20%,500.0,32033.0,41053.0,1124.0
232.0,삼양식품,125000.0,10500.0,+9.17%,5000.0,9090.0,9249.0,904.0
233.0,GKL,15120.0,170.0,-1.11%,500.0,2621.0,6095.0,-139.0
234.0,KODEX 코스닥150레버리지,11855.0,155.0,+1.32%,0.0,,,
235.0,더존비즈온,30450.0,450.0,-1.46%,500.0,3043.0,8329.0,455.0
236.0,아시아나항공,12280.0,40.0,+0.33%,5000.0,62067.0,134553.0,5988.0
237.0,KG스틸,9120.0,170.0,-1.83%,5000.0,38197.0,30515.0,3404.0
238.0,대한유화,139300.0,1100.0,+0.80%,5000.0,22221.0,21958.0,-2146.0
239.0,오리온홀딩스,14370.0,210.0,-1.44%,500.0,29346.0,51022.0,3998.0
240.0,세아베스틸지주,24950.0,400.0,-1.58%,5000.0,43863.0,38184.0,1279.0
241.0,롯데리츠,3655.0,50.0,-1.35%,500.0,579.0,23639.0,341.0
242.0,TKG휴켐스,21500.0,100.0,-0.46%,1000.0,12358.0,9414.0,1171.0
243.0,KODEX 단기채권,106355.0,20.0,+0.02%,0.0,,,
244.0,진에어,16670.0,50.0,-0.30%,1000.0,5934.0,7719.0,-673.0
245.0,TIGER KOFR금리액티브(합성),102070.0,5.0,0.00%,0.0,,,
246.0,ESR켄달스퀘어리츠,4010.0,35.0,-0.87%,1000.0,490.0,22539.0,225.0
247.0,조선내화,21200.0,0.0,0.00%,500.0,7980.0,16204.0,226.0
248.0,신풍제약,15880.0,330.0,-2.04%,500.0,2093.0,3615.0,-340.0
249.0,한일시멘트,12120.0,200.0,-1.62%,500.0,14876.0,24608.0,1180.0
250.0,TIGER 200 IT,33385.0,165.0,-0.49%,0.0,,,
251.0,DL,39250.0,100.0,+0.26%,5000.0,51708.0,121510.0,2807.0
252.0,한세실업,20550.0,300.0,-1.44%,500.0,22048.0,12392.0,1796.0
253.0,제이알글로벌리츠,4150.0,45.0,-1.07%,1000.0,549.0,20271.0,269.0
254.0,미원상사,168800.0,1400.0,-0.82%,500.0,4382.0,4156.0,770.0
255.0,NHN,23400.0,300.0,-1.27%,500.0,21149.0,30252.0,391.0
256.0,세아제강지주,197100.0,6900.0,-3.38%,5000.0,39538.0,35721.0,5672.0
257.0,하나투어,50800.0,600.0,+1.20%,500.0,1150.0,4554.0,-1012.0
258.0,넥센타이어,8310.0,30.0,-0.36%,500.0,25974.0,39443.0,-543.0
259.0,다우기술,18030.0,160.0,-0.88%,500.0,92106.0,492600.0,7187.0
260.0,HSD엔진,11150.0,160.0,+1.46%,1000.0,7642.0,9562.0,-295.0
261.0,미원에스씨,156300.0,3800.0,+2.49%,500.0,6116.0,4757.0,809.0
262.0,SNT모티브,54500.0,500.0,+0.93%,5000.0,10449.0,12255.0,1119.0
263.0,KODEX 인버스,4505.0,40.0,+0.90%,0.0,,,
264.0,F&F홀딩스,19910.0,190.0,-0.95%,500.0,18168.0,35951.0,4862.0
265.0,이노션,38700.0,350.0,-0.90%,500.0,17504.0,22901.0,1369.0
266.0,경동나비엔,53000.0,600.0,-1.12%,1000.0,11609.0,10180.0,598.0
267.0,롯데관광개발,10440.0,70.0,+0.68%,500.0,1837.0,18028.0,-1187.0
268.0,율촌화학,30600.0,700.0,+2.34%,500.0,5089.0,6531.0,-46.0
269.0,자화전자,34600.0,150.0,-0.43%,500.0,2923.0,5058.0,-117.0
270.0,더블유게임즈,41450.0,600.0,-1.43%,500.0,6173.0,12356.0,1839.0
271.0,HDC현대산업개발,11290.0,70.0,-0.62%,5000.0,32983.0,73363.0,1164.0
272.0,KODEX 자동차,19440.0,50.0,-0.26%,0.0,,,
273.0,대웅,12410.0,90.0,-0.72%,500.0,16973.0,21589.0,2073.0
274.0,KBSTAR 머니마켓액티브,50315.0,0.0,0.00%,0.0,,,
275.0,ACE 종합채권(AA-이상)KIS액티브,95590.0,190.0,-0.20%,0.0,,,
276.0,케이카,14570.0,190.0,-1.29%,500.0,21773.0,5344.0,500.0
277.0,KCC글라스,43650.0,200.0,-0.46%,1000.0,14437.0,22096.0,1192.0
278.0,삼부토건,3525.0,125.0,-3.42%,1000.0,4632.0,5118.0,-630.0
279.0,태광산업,622000.0,5000.0,-0.80%,5000.0,27039.0,49100.0,-1221.0
280.0,화신,19720.0,450.0,+2.34%,500.0,16903.0,10046.0,874.0
281.0,대신증권,13520.0,180.0,-1.31%,5000.0,42313.0,212107.0,2535.0
282.0,애경산업,25950.0,150.0,-0.57%,1000.0,6104.0,4826.0,390.0
283.0,세방전지,48450.0,100.0,-0.21%,500.0,14731.0,16770.0,811.0
284.0,드림텍,9900.0,0.0,0.00%,100.0,13686.0,8254.0,967.0
285.0,SK디스커버리,34950.0,350.0,-0.99%,5000.0,87171.0,117801.0,3622.0
286.0,KODEX MSCI Korea TR,11615.0,95.0,-0.81%,0.0,,,
287.0,ARIRANG 200,34605.0,230.0,-0.66%,0.0,,,
288.0,녹십자홀딩스,14000.0,40.0,-0.28%,500.0,20796.0,35921.0,712.0
289.0,한국단자,62900.0,2000.0,+3.28%,500.0,11681.0,12898.0,643.0
290.0,KODEX 코스닥150선물인버스,3850.0,25.0,-0.65%,0.0,,,
291.0,대한해운,2030.0,5.0,+0.25%,500.0,16120.0,44903.0,2677.0
292.0,KG케미칼,46650.0,1350.0,-2.81%,5000.0,66074.0,69819.0,5011.0
293.0,TIGER 차이나항셍테크,5770.0,50.0,-0.86%,0.0,,,
294.0,KODEX Fn Top10동일가중,8135.0,45.0,-0.55%,0.0,,,
295.0,우리종금,729.0,4.0,-0.55%,500.0,4066.0,56572.0,1230.0
296.0,KOSEF 국고채10년,109980.0,370.0,-0.34%,0.0,,,
297.0,티웨이항공,3155.0,55.0,-1.71%,500.0,5258.0,10425.0,-1039.0
298.0,미래에셋생명,3570.0,95.0,-2.59%,5000.0,33663.0,372500.0,880.0
299.0,KOSEF 200TR,42260.0,355.0,-0.83%,0.0,,,
300.0,삼양홀딩스,72400.0,800.0,-1.09%,5000.0,33168.0,45478.0,1323.0
301.0,KBSTAR 23-11 회사채(AA-이상)액티브,51605.0,10.0,+0.02%,0.0,,,
302.0,이엔플러스,9310.0,200.0,+2.20%,500.0,269.0,1203.0,-132.0
303.0,신세계인터내셔날,16980.0,90.0,-0.53%,1000.0,15539.0,12787.0,1153.0
304.0,이수화학,27000.0,600.0,+2.27%,5000.0,22076.0,11881.0,360.0
305.0,KOSEF 200,34100.0,235.0,-0.68%,0.0,,,
306.0,LX홀딩스,7930.0,20.0,+0.25%,1000.0,2369.0,16350.0,1589.0
307.0,SPC삼립,68700.0,400.0,-0.58%,5000.0,33145.0,12954.0,895.0
308.0,대상,16980.0,360.0,-2.08%,1000.0,40841.0,31902.0,1400.0
309.0,TIGER 24-10 회사채(A+이상)액티브,52800.0,5.0,-0.01%,0.0,,,
310.0,쿠쿠홀딩스,16450.0,200.0,-1.20%,100.0,7556.0,11495.0,879.0
311.0,동양생명,3610.0,35.0,-0.96%,5000.0,102796.0,374202.0,1299.0
312.0,KODEX 미국S&P500TR,13005.0,30.0,-0.23%,0.0,,,
313.0,서연이화,21300.0,1300.0,+6.50%,500.0,28453.0,19303.0,1507.0
314.0,ACE 미국S&P500,14660.0,15.0,-0.10%,0.0,,,
